	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
EXO1	2.6667721	0.25107563	3.288336	0.6781482	0.55591464	2.9011374	3.807411	1.182776	4.015215	4.1554413	3.490597	0.7991509	2.9634519	3.9514174	3.9439354	0.50599486	3.9269239999999996	3.0125740000000003	1.9069613	1.0841396	1.9561163000000001	3.0072305	4.62004	1.9222491000000002	2.6736007	4.604693	3.8328729	4.5391665	0.3786144	3.8459887999999998	3.5147612	3.7071147000000004	3.4033029999999997	3.8338957000000002	3.3895449999999996	4.30816	2.5385325	3.6484803999999995	3.0479455	4.196159	0.48553726	2.5033484	0.6691063	3.2063751	3.3205156000000002	3.8884665999999997	2.9745312000000004	5.0316529999999995	3.2094967	3.3219557	2.4672816	2.8114889	3.8609760000000004	3.0197616000000003	3.1985302000000004	5.0144	5.155421	3.1309093999999997	3.7192168	1.4276745000000002	4.0857863	3.2630455	4.4711947	4.227285	4.950002	3.9532883	3.8145629999999997	4.658243700000001	2.58014	3.4621067
E2F1	4.936360400000001	1.3045712	5.8631773	2.6554046000000002	1.608838	5.502354599999999	6.2137523	3.4594697999999995	5.219125	6.982345	5.2945995	2.5084577	5.6490145	6.186429	5.0469728	1.1177393	6.321041999999999	5.425925	4.427585	2.3868396	3.890425	5.055701999999999	6.0320964	4.0338936	4.6752477	4.995894	4.7020664000000005	5.9262004	1.2987429	6.303466	5.8295712	5.684012999999999	6.303071	6.3069215	5.575645	6.3936462	4.832401	6.195897	5.5326786	7.0495224	2.201667	4.5837946	1.5210948	5.4847535999999995	5.2479385999999995	6.494574500000001	4.920305	6.257169	5.8158183	5.8075676	4.058321	4.8145537	6.2600307	6.099969000000001	4.7782089999999995	6.343954599999999	6.661311	5.2456994	6.3819870000000005	3.5285474999999997	6.355116000000001	4.693221	5.677247	6.3576846	6.3961167	5.509983	6.0165386	5.756512	4.507122	5.8519735
DTL	2.4541852000000004	0.21424463	4.4886756	1.4168863999999999	0.6781482	3.4724769999999996	4.6444163	2.1077466	3.7026825	5.6293178	3.8669366999999997	1.1111153	4.4436097000000006	5.123065	4.390228700000001	0.4751773	4.8313394	3.614739	3.3505199999999995	1.4060217	1.5898027	4.063492	4.571051000000001	2.8599954	4.0347385000000004	4.822270400000001	4.4711947	3.5619237	0.2987822	5.211437	3.5729122	4.936844000000001	5.6932306	5.308537	5.0587089999999995	4.972265	3.4263232000000006	5.3896003	3.7082229	5.3150687	1.1891136999999998	3.8649807000000003	0.52618414	4.137512999999999	3.8609760000000004	5.039991400000001	3.5534127	5.1457024	3.7907957999999997	4.161105600000001	3.17476	3.9097397000000003	4.8171577	4.5843697	4.012588	5.2559237	5.3125343	3.914595	4.9968634000000005	2.5533702000000003	4.6864915	3.1473117000000004	4.4501934	4.093411	4.9708122999999995	4.5969267	4.189825	5.734431	2.9927914	3.9316894999999996
PLK1	4.28908	1.7949808	4.698797	3.0652797	1.5607548	4.189069	5.523873	1.5460458000000001	4.488007	6.387817	4.799607	1.9635481	4.522901	5.588569000000001	4.7697306	1.8359431	4.791798	4.6707315000000005	3.7125642	3.111082	3.1683583	4.145721	5.7059809999999995	4.292781400000001	4.8384805	5.5746655	5.054441000000001	4.8885026	2.7398314	4.961616	4.788714	5.3441279999999995	5.242583799999999	5.2581635	5.1858525	5.2589426	4.517258	4.7739697	4.864449	5.6585225999999995	2.8679327999999997	4.2226467	0.8480885	4.7881355	4.234196	5.3312545	4.303792	5.3722267	5.3344727	5.2723846	3.6229150000000003	4.2433834	5.082771299999999	5.2075458	4.401182700000001	6.235754	5.427976	4.4215784000000005	5.533265	3.9690106	5.919316	3.9699470000000003	4.7042785	4.370141	5.5846524	5.029908	5.28544	4.886087	4.257785	4.945842
DMC1	1.4436299	1.2631196000000002	2.250979	1.1506448999999999	0.62302387	4.795461	3.9579663	0.7991509	0.7571259	0.34494959999999997	0.20175661	0.77407175	2.9653702	4.6082415999999995	0.5161281	1.1570913999999999	0.87191325	4.623493	1.0427017	0.46478304	1.6781452000000001	4.1366644	2.6415339	1.1506448999999999	1.1699992000000001	2.1310024	0.2751237	2.5210828999999997	1.1111153	3.4982522000000005	2.5873902	1.718147	1.5753416	3.2780166	2.5059025000000004	2.4956913	2.8953352000000003	1.3785836	1.3162155	3.9097397000000003	0.8400183000000001	1.3449053999999998	0.44372052	3.1209915	0.33353373	1.0427017	1.6599708999999998	4.473774	2.003606	3.3631544	3.4803050000000004	2.3074434	3.3190758000000002	3.5210589999999997	0.5656918000000001	4.006304	3.8032327000000006	1.0072758	4.0874805	0.6600121	3.8875341	2.8156068	2.469904	0.6960961999999999	1.0286552	3.5460038000000003	1.9373734	4.0823984	0.35624728	1.1699992000000001
GTSE1	2.8135476	0.6323526999999999	4.64096	1.5460458000000001	0.7571259	4.2847157	4.7677073	1.3334688000000001	3.7980342000000005	5.693525	4.1309114000000005	1.3162155	4.7985463	5.10306	4.137512999999999	0.3674849	4.8464913	5.505288	3.4100962	2.1505704	2.3729412999999995	4.4073763	5.083256700000001	3.3219557	4.687645400000001	4.7120690000000005	4.403279	4.3067355	0.8400183000000001	5.1591144	4.3491163	5.0223474999999995	5.0391183	4.95697	4.875267	5.493749	4.399849	5.0139154999999995	4.28908	5.365981	1.6599708999999998	3.6679102999999995	0.35624728	4.2957234	3.9020865	5.6693052999999995	4.604693	4.8768125	4.892851	4.468617	3.104363	3.8816602	5.3458843	5.15581	4.0942583	5.677541000000001	5.6458783	4.189825	5.5494113	3.0338876	5.4698944	3.3798684999999997	4.480937	5.5282754999999995	5.5163407	4.521083999999999	4.8374185999999995	4.440938	3.9955214999999997	4.7985463
TIMELESS	4.174705	1.6960089	4.915567	3.165159	2.1603448	4.4355965	5.9701777	2.922211	4.467280000000001	6.0887356	4.551514599999999	2.5509644000000002	4.568656400000001	4.753838	5.121803	2.31615	5.06094	4.6187925000000005	4.2172523	3.5862005	3.6881932999999996	4.6253166	5.3491035	2.922211	4.9387784	5.0678277000000005	5.18313	5.0539559999999994	3.5668676	6.3696375	4.375756299999999	5.146479599999999	5.523873	4.8455257000000005	4.7517195	5.3715434	4.6599727	5.6433306	4.908799	5.282419	2.695983	4.643264299999999	2.4672816	4.4100447	4.9918260000000005	5.6607769999999995	4.8535385	5.461391000000001	4.9579379999999995	4.9044495	4.0849395	4.51219	5.4873934	5.3458843	4.371568700000001	5.8785110000000005	6.2141470000000005	5.010330000000001	5.9154800000000005	3.7104397000000002	5.8742843	4.1260085	5.2842703	5.222628	5.459143599999999	5.8083534000000006	5.4025846	5.937807599999999	4.0008655	4.727366
POLE2	2.1603448	1.0427017	3.6870863	1.7005076000000001	1.3841318999999999	3.1325932	3.7844877	1.3729870000000002	3.8328729	3.8629315	3.291299	1.3162155	2.7462974	4.5317025	4.105182	1.0909218	4.2055206	3.0053918	3.2509565	1.9928074	1.8197037	3.7213426	4.382706	1.5607548	3.3992286	3.7697464999999997	3.3074725	3.4019443999999996	1.4330235	3.7856007000000007	3.3505199999999995	3.6576862	4.0874805	3.9781873	3.4356692000000004	4.211007599999999	3.9269239999999996	3.8894925000000002	3.3248365	4.1415696	1.3562181	2.833903	0.65087	3.0426714	3.6915145	3.9726622000000003	2.9279428	4.2441406	3.3320407999999997	4.1391172	3.0089824	3.1618717	3.5236156000000003	4.172343700000001	3.207891	3.4867706	4.464034	3.3881881000000003	3.8560410000000003	2.4672816	4.036523000000001	3.0000522000000003	3.904046	3.4607427000000004	3.6780487999999996	3.7235608	4.2979064000000005	4.63165	3.1842802000000003	3.8094542000000002
RAD51AP1	3.31035	0.9561472	4.893333999999999	1.3951445	0.99286234	3.0089824	4.868409	2.166716	3.8738312999999995	3.9845574	3.9718193999999998	1.5607548	4.0721436	3.9269239999999996	3.9117002	1.1699992000000001	4.900583	3.4329467000000005	3.3490767	1.9145979	1.9524055	4.260818	4.6217666	3.0840537999999995	4.123463	3.9392605000000005	3.2956998	4.276463	1.2928126	5.4025846	4.019719	4.8191833	4.516015	4.4886756	5.15824	5.1473546	4.1659217	4.9694567	4.0729904	5.0687013	1.4751447	3.1293151000000003	1.0286552	4.3799453	4.212616000000001	5.062686	3.8104758000000003	5.228078400000001	4.1077256	4.242625	3.673532	3.3334818	5.011202	4.880193	3.8196730000000003	5.231875	4.6017209999999995	4.012588	5.6493087	2.8439693	5.9134154	3.4383016000000004	4.462029	4.232681299999999	4.8914013	5.313606299999999	3.9764078	4.310343700000001	3.3334818	4.280257
CDK1	3.2295833	1.2869579	5.1803093	2.1635296000000004	1.9145979	4.3247824	6.4025397	3.471203	4.632322	4.5077915	4.9188540000000005	1.5410503999999998	5.3269634	6.0170307	5.9097767	1.2016847	5.875758	5.143662	3.9781873	2.2079334	3.1209915	5.032526	5.4640303	3.003641	5.9143004	5.6299057	4.071297	5.570456	0.7049559	5.927676	4.795461	5.709021	5.9936996	6.163944	5.481918299999999	5.2972307	4.758653	5.5894504000000005	4.7398777	6.2041835999999995	2.1177437	4.7098565	0.89538705	3.9754715	4.5428996	5.9134154	5.719714	5.705196	5.305223000000001	5.1497839999999995	4.3391333	4.5404105	6.2534184	5.989861	5.1263676	6.8127785	5.8582635000000005	4.7991247	6.223618	3.7980342000000005	6.9286804	4.411474	5.6630316	5.577701	6.370823000000001	5.421236	5.527004	7.11861	5.260403599999999	6.0391865
